checkIn(時刻),checkIn,hours,一致,既存料金,既存プラン,新料金(最安),新プラン
00:00,0,0.5,○,6000,"ショート",6000,"ショート"
00:00,0,1,○,6000,"ショート",6000,"ショート"
00:00,0,1.5,○,6000,"ショート",6000,"ショート"
00:00,0,2,○,7400,"ショート + 延長1本",7400,"ショート + 延長1本"
00:00,0,2.5,○,8800,"深夜休憩",8800,"ショート + 延長2本"
00:00,0,3,○,8800,"深夜休憩",8800,"深夜休憩"
00:00,0,3.5,×,13800,"宿泊2部(平日)",11600,"ショート + 延長4本"
00:00,0,4,×,13800,"宿泊2部(平日)",13000,"ショート + 延長5本"
00:00,0,4.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,5.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,6,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,6.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,7,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,7.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,8,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,8.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,9,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,9.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,10,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,10.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,11,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,11.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,12,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:00,0,12.5,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:00,0,13,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:00,0,13.5,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:00,0,14,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:00,0,14.5,○,15200,"宿泊2部(平日) + 延長1本",15200,"宿泊2部 + 延長1本"
00:00,0,15,○,16600,"宿泊2部(平日) + 延長2本",16600,"宿泊2部 + 延長2本"
00:00,0,15.5,○,18000,"宿泊2部(平日) + 延長3本",18000,"宿泊2部 + 延長3本"
00:00,0,16,○,19400,"宿泊2部(平日) + 延長4本",19400,"宿泊2部 + 延長4本"
00:00,0,16.5,○,20800,"宿泊2部(平日) + 延長5本",20800,"宿泊2部 + 延長5本"
00:00,0,17,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(M時間)"
00:00,0,17.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム1部)"
00:00,0,18,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム1部)"
00:00,0,18.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:00,0,19,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:00,0,19.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:00,0,20,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:00,0,20.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:00,0,21,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:00,0,21.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:00,0,22,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:00,0,22.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:00,0,23,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:00,0,23.5,○,23000,"宿泊2部(平日) + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本"
00:00,0,24,×,-25400,"宿泊2部(平日) + 延長-28本",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
00:30,0.5,0.5,○,6000,"ショート",6000,"ショート"
00:30,0.5,1,○,6000,"ショート",6000,"ショート"
00:30,0.5,1.5,○,6000,"ショート",6000,"ショート"
00:30,0.5,2,×,8800,"深夜休憩",7400,"ショート + 延長1本"
00:30,0.5,2.5,○,8800,"深夜休憩",8800,"ショート + 延長2本"
00:30,0.5,3,○,8800,"深夜休憩",8800,"深夜休憩"
00:30,0.5,3.5,×,13800,"宿泊2部(平日)",11600,"ショート + 延長4本"
00:30,0.5,4,×,13800,"宿泊2部(平日)",13000,"ショート + 延長5本"
00:30,0.5,4.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,5.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,6,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,6.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,7,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,7.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,8,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,8.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,9,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,9.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,10,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,10.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,11,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,11.5,○,13800,"宿泊2部(平日)",13800,"宿泊1部"
00:30,0.5,12,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:30,0.5,12.5,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:30,0.5,13,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:30,0.5,13.5,○,13800,"宿泊2部(平日)",13800,"宿泊2部"
00:30,0.5,14,○,15200,"宿泊2部(平日) + 延長1本",15200,"宿泊2部 + 延長1本"
00:30,0.5,14.5,○,16600,"宿泊2部(平日) + 延長2本",16600,"宿泊2部 + 延長2本"
00:30,0.5,15,○,18000,"宿泊2部(平日) + 延長3本",18000,"宿泊2部 + 延長3本"
00:30,0.5,15.5,○,19400,"宿泊2部(平日) + 延長4本",19400,"宿泊2部 + 延長4本"
00:30,0.5,16,○,20800,"宿泊2部(平日) + 延長5本",20800,"宿泊2部 + 延長5本"
00:30,0.5,16.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(M時間)"
00:30,0.5,17,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム1部)"
00:30,0.5,17.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム1部)"
00:30,0.5,18,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:30,0.5,18.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:30,0.5,19,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:30,0.5,19.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊1部 + 休憩(サービスタイム2部)"
00:30,0.5,20,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:30,0.5,20.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:30,0.5,21,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:30,0.5,21.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:30,0.5,22,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
00:30,0.5,22.5,○,21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)"
