区分,入室時刻,checkIn,hours,既存料金,既存プラン,最安料金,最安プラン,差額(既存-最安)
日祝,00:00,0,14,19400,"宿泊2部 + 延長4本",13800,"宿泊2部",5600
日祝,00:00,0,14.5,20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本",5600
日祝,00:00,0,21,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,00:00,0,21.5,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,00:00,0,22,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,00:00,0,22.5,28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本",5600
日祝,00:30,0.5,13.5,19400,"宿泊2部 + 延長4本",13800,"宿泊2部",5600
日祝,00:30,0.5,14,20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本",5600
日祝,00:30,0.5,20.5,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,00:30,0.5,21,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,00:30,0.5,21.5,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,00:30,0.5,22,28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本",5600
日祝,01:00,1,13,19400,"宿泊2部 + 延長4本",13800,"宿泊2部",5600
日祝,01:00,1,13.5,20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本",5600
日祝,01:00,1,20,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,01:00,1,20.5,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,01:00,1,21,27200,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部)",21600,"宿泊2部 + 休憩(サービスタイム3部)",5600
日祝,01:00,1,21.5,28600,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 延長1本",23000,"宿泊2部 + 休憩(サービスタイム3部) + 延長1本",5600
日祝,01:00,1,24,35000,"宿泊2部 + 前延長4本 + 休憩(サービスタイム3部) + 休憩(4時間)",29400,"宿泊2部 + 休憩(サービスタイム3部) + 休憩(M時間)",5600
日祝,01:30,1.5,12.5,19400,"宿泊2部 + 延長4本",13800,"宿泊2部",5600
日祝,01:30,1.5,13,20800,"宿泊2部 + 延長5本",15200,"宿泊2部 + 延長1本",5600
