pattern,checkIn,hours,category,oracle_price,oracle_plan,engine_price,engine_plan
平日,0,3.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",11600,"ショート + 延長4本"
平日,0,4,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13000,"ショート + 延長5本"
平日,0,24,既存バグ(負),-25400,"宿泊2部(平日) + 延長-28本",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
平日,0.5,2,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
平日,0.5,3.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",11600,"ショート + 延長4本"
平日,0.5,4,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13000,"ショート + 延長5本"
平日,0.5,23.5,既存バグ(負),-25400,"宿泊2部(平日) + 延長-28本",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
平日,0.5,24,既存バグ(負),-24000,"宿泊2部(平日) + 延長-27本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本"
平日,1,1.5,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
平日,1,3.5,既存が割高(最適化漏れ),13800,"宿泊2部(平日)",13000,"ショート + 延長5本"
平日,1,23,既存バグ(負),-25400,"宿泊2部(平日) + 延長-28本",24400,"宿泊2部 + 休憩(サービスタイム3部) + 延長2本"
平日,1,23.5,既存バグ(負),-24000,"宿泊2部(平日) + 延長-27本",25800,"宿泊2部 + 休憩(サービスタイム3部) + 延長3本"
平日,1,24,既存バグ(負),-22600,"宿泊2部(平日) + 延長-26本",27200,"宿泊2部 + 休憩(サービスタイム3部) + 延長4本"
平日,1.5,1,既存が割高(最適化漏れ),8800,"深夜休憩",7400,"ショート + 延長1本"
平日,1.5,15,既存が割高(最適化漏れ),20800,"宿泊2部(平日) + 延長5本",20400,"前延長9本 + 休憩(サービスタイム1部)"
平日,1.5,15.5,既存が割高(最適化漏れ),21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",20400,"前延長9本 + 休憩(サービスタイム1部)"
平日,1.5,16,既存が割高(最適化漏れ),21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",20400,"前延長9本 + 休憩(サービスタイム1部)"
平日,1.5,16.5,既存が割高(最適化漏れ),21600,"宿泊2部(平日) + 休憩(サービスタイム3部)",20400,"前延長9本 + 休憩(サービスタイム1部)"
平日,9.5,17,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",21200,"前延長1本 + 休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本"
平日,10,16.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本"
平日,10,17,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",21200,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長2本"
平日,10.5,16,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本"
平日,10.5,16.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",21200,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長2本"
平日,11,15.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本"
平日,11,16,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",21200,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長2本"
平日,11.5,15,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本"
平日,11.5,15.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",21200,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長2本"
平日,12,14.5,既存が割高(最適化漏れ),21600,"休憩(サービスタイム1部)(平日) + 宿泊1部(平日)",19800,"休憩(サービスタイム2部) + 延長2本 + 休憩(M時間) + 延長1本"
